wavelength_nm,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,CYAN
608,0.00293557364151992,2.90214543695219e-05,9.89324982365087e-06,0.0151947881265752,4.78052852163427e-06
610,0.00489761520804599,4.6596947209685e-05,1.00683515904411e-05,0.00906914055722291,4.78052852163427e-06
612,0.00793803076533447,5.56661517001606e-05,1.01267188460379e-05,0.00512326887618557,4.62795846243318e-06
614,0.0120568203133854,4.06550546124768e-05,9.71814805686059e-06,0.00280029603170392,5.23823869923755e-06
616,0.0174486902671975,3.90913986658431e-05,9.48467903447355e-06,0.00144788033457418,5.26366704243773e-06
618,0.0238889793786952,4.19059793697838e-05,9.1052918730946e-06,0.000704051701152831,5.69594887684083e-06
620,0.0310781393171114,4.78478719669919e-05,1.07103914020055e-05,0.000339695001573174,5.7468055632412e-06
622,0.0388663959170622,5.37897645642001e-05,1.04769223796185e-05,0.000194111429470385,7.67935964645505e-06
624,0.0473286362612395,5.6291614078814e-05,1.06812077742071e-05,0.000152743419911123,6.76393929124849e-06
626,0.0568392957631025,6.28589690546757e-05,1.19944710251342e-05,0.000159903267719457,8.00992810805742e-06
628,0.0673983744226512,7.16154423558245e-05,1.07979422854007e-05,0.000169449731463902,7.73021633285541e-06
630,0.0786314368264264,8.16228404142804e-05,1.23738581865132e-05,0.000182178349789829,8.79820674726307e-06
632,0.0883667575763649,8.66265394435083e-05,1.26365108366986e-05,0.000193315890825015,9.71362710246963e-06
634,0.09510659501863,8.06846468463001e-05,1.32201833926662e-05,0.00018536050437131,9.00163349286453e-06
636,0.09510659501863,7.13027111664978e-05,1.12940639579731e-05,0.000163085422300938,8.16249816725851e-06
638,0.0853712742686915,5.8793463593428e-05,1.0360187868425e-05,0.000127286183259269,6.61136923204739e-06
